subject,repetition,context,interference,g,swap,SD,nTrials
37,5,1,1,0.00606571979715323,0.00424349999413164,23.7271697628774,29
38,1,0,0,0.072019279108321,0.00185088439773583,25.0882118296754,30
38,1,0,1,0.0601174263602651,0.0266153130656327,124.048529304201,27
38,1,1,0,0.222453907109938,0.000470477106089201,17.4902305343545,29
38,1,1,1,0.596043007841019,0.00178558316621916,69.0909788555146,26
38,5,0,0,0.00118587972701096,2.81659810087605e-05,15.6068285496708,30
38,5,0,1,0.0622096236853844,0.00028471355502172,17.4896822397182,26
38,5,1,0,0.000332098721386391,0.00697988869904403,24.337213293066,29
38,5,1,1,0.00305909914576325,0.00413834651758884,16.519148235898,24
39,1,0,0,0.04248757604621,0.000354691035560978,47.675794755549,27
39,1,0,1,0.165587971667691,0.819099650052276,283228.427953241,30
39,1,1,0,0.0546664792569225,0.000924575793299964,27.0641318590052,29
39,1,1,1,0.872458710093688,0.0101088953444233,22.9907660061651,28
39,5,0,0,0.134399086122386,0.000384565841255754,21.2759399315564,30
39,5,0,1,0.109029989878211,0.00140885739433947,19.8566406751238,27
39,5,1,0,0.096823773527799,0.000386539917909347,18.1144685497057,29
39,5,1,1,0.0605988481061422,0.00152202571790449,16.0444627968607,26
40,1,0,0,0.0514007170705877,0.00112689828874316,19.1418310435994,26
40,1,1,0,0.0153688913071711,0.00131913394852212,29.2065222109674,28
40,1,1,1,0.329739205523351,0.0423066076738366,204.80235307637,29
40,5,0,0,0.00492607733816069,0.000421487726039433,20.434214270109,29
40,5,0,1,0.064225562558376,0.000342066156922208,27.6050950900458,27
40,5,1,0,5.90483919096121e-05,0.00497140799349073,17.8279451847025,28
40,5,1,1,0.0135249050207514,0.00215510852873903,27.573007852462,26
41,1,0,0,0.00415821271651659,0.00475883858054364,30.0694924239598,29
41,1,0,1,0.447106342960591,0.0234140997389444,3967.9577583097,29
41,1,1,0,0.14752228586242,0.00191318524662804,21.2940296907898,30
41,1,1,1,0.627049418461889,0.0755998868181801,148.497172746124,28
41,5,0,0,0.00129956081808998,0.00213158433627594,22.2220555393451,30
41,5,0,1,0.18700552154188,0.00296487377726024,31.4889739052827,22
41,5,1,0,0.00710239827969487,0.0076691964910635,16.5014132374925,29
41,5,1,1,0.00679002937732495,0.00335753146170206,36.995637477393,21
42,1,0,0,0.148456726577222,0.00210528149846033,22.385068687818,30
42,1,0,1,0.570713658370434,0.01719963689251,40.8932321796153,28
42,1,1,0,0.072033903963137,0.00195101371963656,26.6794606225539,28
42,1,1,1,0.409498195249975,0.00357449107124878,32.0741626381507,29
42,5,0,0,0.0107075167247674,0.00334174971629601,29.1347943581466,29
42,5,0,1,0.146658828182911,6.59321325948564e-05,24.3699978703188,25
42,5,1,0,0.00212725555635259,0.0088994652076391,32.3406116927964,29
42,5,1,1,0.469726193746157,0.00265422480577164,11.9821078676202,26
43,1,0,0,0.0814307876143226,0.00169209531423832,17.8772629247222,29
43,1,0,1,0.655457475871301,0.0534670744132688,72.3709432425235,28
43,1,1,0,0.0466390300873612,0.000819799800283609,20.0569171053845,29
43,1,1,1,0.664804059422537,0.00184137825209436,18.2105808420809,28
43,5,0,0,0.0725017010972704,0.000616435218658297,14.7873727205378,29
43,5,0,1,0.0704802616923334,0.00196651982259029,18.3972209641237,27
43,5,1,0,0.000325039597941573,0.00152322700373599,19.1683359746559,29
43,5,1,1,0.144224126173898,0.00258636098179042,17.5269910075321,29
44,1,0,0,0.00318151734037023,0.00127180472017575,22.9061153375394,30
44,1,0,1,0.423518036614502,0.00941293834827325,25.2429996078652,27
44,1,1,0,0.00864016666899065,0.00437310072594394,16.0449721975949,30
44,1,1,1,0.350118691292369,0.00241794213703964,25.5319025713081,23
44,5,0,0,0.00556363149691201,0.000158630426087777,13.574819221756,30
44,5,0,1,0.00226982977627231,0.000500002176745037,16.6444838360613,26
44,5,1,0,0.00116123769418055,0.00111021804241434,15.9541742091271,28
44,5,1,1,0.00193244869477525,0.00175075580658837,19.6917266224187,26
45,1,0,0,0.0844260118196181,0.000667417703021018,20.3113994513053,30
45,1,1,0,0.00173696547658922,0.00299210630613401,32.599318646485,30
45,5,0,0,0.0065703257470985,0.00191727815320678,18.5174244544105,28
45,5,0,1,0.156333646300944,0.000852442671989442,20.8082262188597,27
45,5,1,0,0.160142638802159,0.000242545818332447,12.1493087534198,27
45,5,1,1,0.0081152598375167,9.3309666158805e-05,28.4725137152579,30
46,1,0,0,0.56527558037084,0.00501389199740233,18.6366986991774,25
46,1,0,1,0.267288466071929,0.0208382828402285,131.463019010184,29
46,1,1,0,0.500168581739936,0.0068072934185691,37.9126438730732,28
46,1,1,1,0.29492691173653,0.126377181107425,162.16812268362,29
46,5,0,0,0.153546681513127,0.00146305781478654,25.3431906493955,29
46,5,0,1,0.152446829290829,5.19601952751426e-05,17.9960308692843,29
46,5,1,0,0.134580713564833,0.000185020075048808,25.7764427471593,28
46,5,1,1,0.614966608949625,0.00285163989699088,24.1526297624831,24
47,1,0,0,0.0159707155430362,0.00536588930394809,53.8861714508537,28
47,1,0,1,0.601852915803353,0.185880556444203,25042643248.7266,30
47,1,1,0,0.2016231950381,0.000549924497331721,25.4077828153488,28
47,1,1,1,0.589836735841155,0.0272872063964439,198.51594809312,28
47,5,0,0,0.224966264902856,0.000881145366766387,28.8076658164644,28
47,5,1,0,0.0103056599082705,0.0011936625220947,24.1797370805502,29
47,5,1,1,0.627351082847448,0.000274264194625659,21.0798512686572,29
48,1,0,0,0.105287437983106,0.00346572227157698,19.2563670487282,30
48,1,0,1,0.306104278684637,0.0722028509871527,99.068797400255,30
48,1,1,0,0.0852773013450645,0.00235399703839546,10.998559750857,30
48,5,0,0,5.88724660667388e-05,0.00432960447773751,14.1200770488296,24
48,5,0,1,0.141667935124465,0.000153824071424363,17.3208419283578,29
48,5,1,0,0.0016382435817069,0.00282043742705395,19.8625185035002,28
48,5,1,1,0.213214561074518,0.000353054418224642,20.7664775266931,26
49,1,0,0,0.216057609403017,0.000425583363137725,20.7157589924655,29
49,1,0,1,0.406859938848722,0.00079955161454601,26.1756296145201,28
49,1,1,0,0.0550775187368237,0.00055429845360061,23.415078720523,28
49,1,1,1,0.643364959923715,2.00816736625406e-05,11.170773999222,29
49,5,0,0,0.00521012445182935,0.00664652220902064,27.2824297420851,28
49,5,0,1,0.24266551850802,0.00242317149844914,17.3945864594027,28
49,5,1,0,0.113267489538013,0.00132990718334638,18.443012333705,30
49,5,1,1,0.396001236350049,0.00267273451580289,16.8638676340141,28
50,1,0,0,0.00241007044991068,0.000132136936953461,23.5254517418131,28
50,1,0,1,0.814308102055878,0.00523305919905683,2.96351134006545,26
50,1,1,0,0.022268353157569,0.00266984958408624,30.9115025757157,30
50,5,0,0,0.00122116205369117,0.00239995530912077,12.6719650634678,29
50,5,0,1,0.122707298322118,0.000849157838682126,17.9960021302761,29
50,5,1,0,0.00523417374451877,0.000551180778918739,20.0009593458719,27
50,5,1,1,0.000914347709822225,0.00302914422144045,16.2284773109338,28
51,1,0,0,0.00345654573720735,0.00222168204949749,28.5719768893945,30
51,1,0,1,0.369476072078121,0.00238640355107064,26.2965907585465,29
51,1,1,0,0.0578600677932058,2.26499569671613e-05,26.8976455966441,30
51,1,1,1,0.322583339852392,0.000825290247309483,31.2881599544626,30
51,5,0,0,0.00307236463101589,0.000935925341693048,17.6579679259426,28
51,5,0,1,0.00179762038108738,0.00608107416217717,20.7962153690465,25
51,5,1,0,0.00527153095076305,0.00149182470845555,22.9413557587996,27
51,5,1,1,0.0576019337493813,0.00075174774152767,21.0686592240306,25
52,1,0,0,0.014788126384666,0.000352262345532324,24.1386475404242,28
52,1,0,1,0.366132719598361,0.000333987978874788,34.0820563820213,29
52,1,1,0,0.0196270772263731,0.00132278935530362,22.6848214628201,28
52,5,0,0,0.074437326275978,0.000969622169573587,11.0543100019425,29
52,5,0,1,0.143533273873084,0.000224559679707361,16.4977636718821,25
52,5,1,0,0.00994278823323084,0.00253221087081936,13.1620476483008,29
52,5,1,1,0.170621014282122,0.000908743556554312,19.9789038525335,27
