subject,repetition,g,swap,SD,nTrials
21,2,0.0225734171970991,0.000728400084218159,16.8561877843058,103
21,3,0.00144618464033577,0.000927038455890338,13.7970595477089,104
21,4,0.00386714533587194,0.000479580921168568,13.6462957149522,104
21,5,0.0237697352753902,0.000429717740498393,12.7866929013996,96
21,6,0.0116083845552805,0.000416075960617653,10.9052816310968,102
22,1,0.346049918265078,0.00129643430564648,22.0612936931816,95
22,2,0.0315788839589748,0.00034083725838721,20.9104945420409,95
22,3,0.0637635560335629,0.00015145843760727,15.4297021390244,94
22,4,0.015823009505174,0.000267213555640564,14.0655866007965,94
22,5,0.0428128868294171,0.000295490468741446,19.0687139022346,93
22,6,0.00330640724907732,0.000582471432027756,15.1026972345349,92
23,1,0.410727563863167,0.00111998365177829,23.0173727098716,95
23,2,0.0818519851503303,2.43588154305247e-05,21.3229986208536,96
23,3,0.028944561991352,0.000410289665124652,27.9455376648005,94
23,4,0.000305227003613661,0.00321364840533118,26.1355145309586,99
23,5,0.0643280254714616,0.000438130712419209,20.6497176397957,93
23,6,0.0477289859704626,0.00016217497627735,22.2619829594871,98
24,1,0.4530816531281,0.000634978016103899,19.0287047197873,96
24,2,0.00066343555993837,0.000657116133367974,30.5361498435865,92
24,3,0.0187014526331038,0.000184560629164054,23.5222179478739,94
24,4,0.0935664121096873,0.00144366616596616,22.0701926781551,95
24,5,0.220141636122887,0.000672592418953117,23.1049647519016,90
24,6,0.113185404847157,0.00119754119423876,22.0373412166196,90
25,1,0.33680659563975,0.000704568089608542,22.1101736933881,93
25,2,0.036075103476289,7.35370957507609e-05,16.9292329356431,95
25,3,0.019327652298591,0.000422337863965325,15.0732870426009,95
25,4,0.012980077565237,0.000595736943984356,15.5620320176433,96
25,5,0.0194227494283978,8.36339008736947e-05,16.7537837765352,92
25,6,0.0245359657071468,0.000106019167525157,13.4782407842464,93
26,1,0.322435896318859,0.000461586651973361,37.1219707946392,91
26,2,0.074132819379793,8.72462232201572e-05,22.0096276937294,93
26,3,0.0759643387936959,0.000210230614998278,23.7596235801365,91
26,4,0.000155651592054268,5.00044415049545e-05,24.2549046842562,87
26,5,0.10240777527509,0.000556947430436805,20.0035012775804,89
26,6,0.0658094117657447,0.000848229573835173,22.4851847367799,90
27,1,0.254646661395994,0.000211210642036733,22.2699143044388,105
27,2,0.0159825451041945,0.000358551167538346,16.6351254485655,109
27,3,0.065880736538086,0.000261206120952934,18.9192511417298,105
27,4,0.0426488388426757,0.000227534651649158,15.7759290907711,103
27,5,0.0283863492661484,6.29962531905412e-05,18.8972056795296,100
27,6,0.00127303595781753,0.000184276881464118,16.840087705911,105
28,1,0.142871100591022,0.000550983029708093,24.8736113864739,94
28,2,0.00211987192486398,0.00132466690523956,16.6397077040607,97
28,3,0.0149583529793125,0.000652521649077313,11.6001111153117,98
28,4,0.00103730437142875,3.75738899586029e-05,10.2829716753379,96
28,5,0.0148288077403127,0.000175719029570054,11.6220277716038,95
28,6,0.0165091444569101,0.000283212478157061,9.81706788818165,94
29,1,0.400670875289422,0.000443490156451118,37.3326278235574,115
29,2,0.0818017769947332,0.000156365100345402,22.616551695837,116
29,3,0.00493654781342432,0.000185480490700525,24.9037466150325,113
29,4,0.0635337695580712,0.000115141640184321,24.7256859551375,116
29,5,0.0552400495496044,5.29588035442915e-05,21.283201715199,111
29,6,0.0656527189794238,0.00022710727175457,24.2243736429922,113
