subject,repetition,context,interference,g,swap,SD,nTrials
20,1,0,0,0.0152171118696262,0.00248430768324132,22.8087037892989,27
20,1,0,1,0.655525743304384,0.019093117577282,5883.87912376102,27
20,1,1,0,0.00179405491630656,0.00196101815040299,28.9169818551892,26
20,5,0,0,0.00203937242182565,0.00389354384959228,12.4382587539948,26
20,5,0,1,0.010050925489441,0.000638002594420752,11.9303931491699,23
20,5,1,0,0.0057046125385574,0.00431216480608961,15.4515854922278,28
20,5,1,1,0.00143782185800483,0.00530183801962003,17.0091830035732,21
21,1,0,0,0.00280910251331113,0.00424371734453113,18.8410472731379,25
21,1,0,1,0.607204747057771,0.000982802639841308,24.2073942993582,25
21,1,1,0,0.0586491695779666,0.000183386582846185,16.5885386440787,26
21,1,1,1,0.37724921054542,0.00165843330491493,24.3007056443688,24
21,5,0,0,0.00271013513271589,0.00285678479084511,14.0282273079531,25
21,5,0,1,0.000481317556514432,3.68590552150862e-05,12.2115558406572,24
21,5,1,0,0.0040353596464792,0.00216909684609977,14.0528752854977,24
21,5,1,1,0.0654730804265163,0.00371959454665786,10.9110663863798,23
22,1,0,0,0.0210084847254565,0.00587967035154434,23.1600023500343,22
22,1,0,1,0.490861958741008,0.00442890416342268,17.560091292291,27
22,1,1,0,0.00124691916344984,0.00712334977325727,29.3487341385514,23
22,1,1,1,0.264043403746682,0.224569745810824,440.533310576781,23
22,5,0,0,0.141161316255545,0.000696592472977546,15.2283482361552,22
22,5,0,1,0.0616050707193034,0.000868693825551215,21.3646202018603,22
22,5,1,0,0.000314595196631292,0.000792549314417981,14.2915245230352,25
22,5,1,1,0.00740416094082625,0.00324775649630573,22.7530904015512,24
23,1,0,0,0.135298660318797,0.00555678351077743,21.8339631279503,22
23,1,0,1,0.63042353388798,0.00218042121720973,17.7857311823342,25
23,1,1,0,0.0911961079097458,0.0163723447916172,20.7753087198791,25
23,5,0,0,0.00796849028624984,0.00193061568703946,21.1260018408166,26
23,5,0,1,0.0687550257328944,0.00270013684485979,21.7491756392733,22
23,5,1,0,0.00178464883600264,0.00883907809474092,19.3643849488646,22
23,5,1,1,0.190671014345519,0.00338096111505533,18.1511070110972,23
24,1,0,0,0.0829358010785086,0.000868486104509229,17.2164246604932,22
24,1,0,1,0.429596748165252,0.00217428826305666,26.9824815373838,25
24,1,1,0,0.185794110658302,0.00169323916890225,22.5794564113603,24
24,1,1,1,0.021405081345045,0.59928740437639,28324.9233184658,25
24,5,0,0,0.000121512592629103,0.00605832821653364,22.0947532221872,21
24,5,0,1,0.338094438142306,0.0016899827833905,13.8895274564557,20
24,5,1,0,0.0992567841254101,0.000110143502419262,30.5876315015755,23
24,5,1,1,0.428796696456238,0.00285783253736944,18.6788755070404,26
25,1,0,0,0.0634612725208454,0.00012745811194808,19.9157913869039,24
25,1,0,1,0.157785029929218,0.121794942489026,82.8925346050767,18
25,1,1,0,0.290355206991993,0.00240203682271911,22.3092457995701,24
25,1,1,1,0.731249256759003,0.00409524479133189,5.43549340295495,27
25,5,0,0,0.000351871875519716,0.00183652322860868,18.2011753607011,21
25,5,0,1,0.00364733487091497,0.00357412773094332,19.5240891617665,23
