subject,repetition,context,probe,g,swap,SD,nTrials
24,5,1,2,0.234811539869621,0.00100362874079654,22.5242205313946,29
25,1,0,1,0.196529978625921,0.00174561693502652,26.4206110486746,44
25,1,1,1,0.0571845485336105,0.000551439704788187,50.5543559074558,44
25,5,0,1,0.0808324164716834,7.53479139285404e-05,23.6731633519116,45
25,5,1,1,0.0853515023779167,0.000750330610184735,17.2621987519556,45
25,1,0,2,0.238162616273102,0.00288934814189005,31.0080638361877,30
25,1,1,2,0.137262000730209,0.00338543844908924,34.725140731929,30
25,5,0,2,0.181049168865718,0.00358571226370864,20.7569498377689,30
25,5,1,2,0.0578335520640287,0.00237402299114379,31.6790843658123,29
26,1,0,1,0.099991967425416,0.000977050475682691,32.4621938530809,41
26,1,1,1,0.136575888891975,0.0106269555620257,30.4036186489904,44
26,5,0,1,0.170926990896537,0.000814982903821026,17.3062056976597,45
26,5,1,1,0.0624801932653413,0.000612346577456195,25.0687660535674,43
26,1,0,2,0.188279217937069,0.00562304794168478,30.5176123444881,30
26,1,1,2,0.176562124273682,0.000178224571935507,15.0184404380872,25
26,5,0,2,0.144240545419527,0.00361177988675507,20.4427029796426,30
26,5,1,2,0.13631199324006,0.00117497920230313,21.2404307814053,29
27,1,0,1,0.220019546285322,0.00458110628132669,40.1344461592985,45
27,1,1,1,0.377449691864811,0.00136855273449457,40.7536286900862,45
27,5,0,1,0.178653143574999,0.00367472748890274,23.0685042292716,44
27,5,1,1,0.198895372711509,0.000362801780272478,33.1256891560823,44
27,1,0,2,0.116498951638129,0.000366409481358264,41.3808522059483,30
27,1,1,2,0.244622227532789,0.00119947248879627,54.8633983331233,30
27,5,0,2,0.158310441648146,5.50638786901703e-05,31.5809257373369,30
27,5,1,2,0.129840756407738,0.00309175683571089,35.1083339151999,30
28,1,0,1,0.24916216735667,0.000946603754933221,32.8109029361108,45
28,1,1,1,0.207046978656903,4.92860314640891e-05,17.8786331431912,45
28,5,0,1,0.00857238529800537,0.000672549108744286,29.7882178056868,45
28,5,1,1,0.00128421033099311,0.00414628271628241,27.5725327845809,44
28,1,0,2,0.103366976520573,0.00140396796138948,21.7020889267775,30
28,1,1,2,0.174952320032482,0.00182092419093071,32.2245053328054,30
28,5,0,2,0.0062584292350174,0.00262714637013939,28.7651402953601,30
28,5,1,2,0.108763875655086,0.000496923982805538,32.7804820300619,30
29,1,0,1,0.171980553055792,0.000657514991439014,27.5387727519884,45
