subject,repetition,context,interference,g,SD,nTrials
36,5,0,0,0.00292945266466063,19.3719787250826,30
36,5,0,1,0.105034576162776,21.2823080902512,27
36,5,1,0,6.69057771233161e-05,18.1225754626448,29
36,5,1,1,0.106984624443195,17.3355451535339,24
37,1,0,0,0.0878784249796021,17.28079167076,30
37,1,0,1,0.690083419860193,15.6872096971399,30
37,1,1,0,0.05592103483197,22.4273556260145,29
37,5,0,0,0.00122595361881261,28.7422441891919,28
37,5,0,1,0.171828321121969,16.4091674976111,26
37,5,1,0,0.000326602742537464,18.7808174639315,29
37,5,1,1,0.000560854520373706,23.1500455589883,29
38,1,0,0,0.0705270066313789,23.813525818468,30
38,1,0,1,0.161988321926919,110.013599501229,27
38,1,1,0,0.214090463064081,17.0997153390758,29
38,5,0,0,0.00114564975992376,15.4584070415591,30
38,5,0,1,0.0686051753572906,16.5315346256101,26
38,5,1,0,0.000574140557753733,23.5411622459195,29
38,5,1,1,0.000904639172128716,16.1428688792975,24
39,1,0,0,0.14742006454519,39.2711118613574,27
39,1,0,1,0.711468077412079,23.3451307840871,30
39,1,1,0,0.0655061099515494,27.1324033252284,29
39,1,1,1,0.926486171023647,56.5217102245034,28
39,5,0,0,0.128737032724051,21.6343639726558,30
39,5,0,1,0.108180345420581,19.3392928928179,27
39,5,1,0,0.0939812047670601,19.2872420105239,29
39,5,1,1,0.0550562098350031,15.538471607252,26
40,1,0,0,0.0719800172437644,19.2321507224585,26
40,1,1,0,0.00117954373874355,30.8511783419899,28
40,5,0,0,0.00190578840687172,20.1808914237472,29
40,5,0,1,0.0569359171192109,28.7046015081747,27
40,5,1,0,0.000878154883478331,18.6311147453032,28
40,5,1,1,0.00574704459057838,28.1920880380998,26
41,1,0,0,0.000949872022630327,29.5756760989673,29
41,1,1,0,0.145189059215978,21.3731065716691,30
41,1,1,1,0.0466367163133808,100.718152452889,28
41,5,0,0,0.000827204467014699,21.5413411432429,30
41,5,0,1,0.165840728469521,31.2629588823552,22
41,5,1,0,0.00318504343836551,17.3726547145714,29
41,5,1,1,0.00396590044330718,36.4288805607523,21
42,1,0,0,0.183363385585397,21.8375458879059,30
42,1,0,1,0.550002784486173,44.5081783394945,28
42,1,1,0,0.0483061130756827,28.2664696596146,28
42,1,1,1,0.442076432136201,31.4893798187672,29
42,5,0,0,0.000669143720559524,29.0203711556846,29
42,5,0,1,0.153646376270236,24.1804200909779,25
42,5,1,0,0.000560893719266292,29.9896696680093,29
42,5,1,1,0.489849961577052,11.7122413293001,26
43,1,0,0,0.0925941642457767,17.5568257096799,29
43,1,0,1,0.734754635040086,27.6119206278556,28
43,1,1,0,0.0470637159215219,21.0386120563621,29
43,1,1,1,0.701225607171229,15.0677164958735,28
43,5,0,0,0.0851194207592438,15.3001157859687,29
43,5,0,1,0.0700743263304396,18.5682736297629,27
43,5,1,0,0.00139325984763847,20.830003639076,29
43,5,1,1,0.148663843397137,17.0336781234884,29
44,1,0,0,0.0009029149313057,21.8608055529115,30
44,1,0,1,0.388337308309379,24.9350443272927,27
44,1,1,0,0.00038763782476546,15.3406482145939,30
44,1,1,1,0.345867950457439,25.8253926201552,23
44,5,0,0,0.000956358100537145,14.2128771346575,30
44,5,0,1,0.00167271197264793,15.3496794668625,26
44,5,1,0,0.000806203877274848,15.2913902436365,28
44,5,1,1,0.000691900227567498,19.4321995195489,26
45,1,0,0,0.0901008804408828,22.072721041256,30
45,1,1,0,0.000578808499875582,32.9223740551006,30
45,1,1,1,0.883947532932384,2.30499706132054,28
45,5,0,0,0.000391202079032447,18.382300477872,28
45,5,0,1,0.171443851063187,19.4621077704019,27
45,5,1,0,0.173266395239591,12.1656763593076,27
45,5,1,1,0.00113321280507275,26.5813094996599,30
46,1,0,0,0.562777270663491,20.4733373466497,25
46,1,1,0,0.559569830738732,34.456952379039,28
46,1,1,1,0.811439458763487,23.0503202702414,29
46,5,0,0,0.139913077669325,27.4587147378315,29
46,5,0,1,0.148590089881123,17.5177449843918,29
46,5,1,0,0.11914354012798,24.2548452998743,28
46,5,1,1,0.603727428528782,23.9901722260252,24
47,1,0,0,0.00763807578565369,52.5875211958732,28
47,1,0,1,0.115110628132634,103.939714050689,30
47,1,1,0,0.187062077074958,25.5363088890435,28
47,1,1,1,0.405155727765472,156.287667620446,28
47,5,0,0,0.246457552315129,27.2217717754008,28
47,5,0,1,0.0692155125716692,78.7171201992907,27
47,5,1,0,0.000201578476752739,24.5667525281943,29
47,5,1,1,0.553980562096076,21.3115937198628,29
48,1,0,0,0.116096513243424,17.8047937116791,30
48,1,0,1,0.0225341945233137,102.173744018838,30
48,1,1,0,0.0834281845206088,11.1276538443907,30
48,5,0,0,0.0013545245152273,14.6254892612471,24
48,5,0,1,0.157551726616421,17.8852207858388,29
48,5,1,0,0.00104666255027146,20.5250017068823,28
48,5,1,1,0.225124495710415,21.2413818917171,26
49,1,0,0,0.200788141801272,22.9894097791768,29
49,1,0,1,0.439510504782752,26.654784874272,28
49,1,1,0,0.0550854956427739,23.775334085467,28
49,1,1,1,0.609359884374132,12.4152298462866,29
49,5,0,0,0.00104919690249784,26.8413764869575,28
49,5,0,1,0.234049705967235,17.7489159108957,28
49,5,1,0,0.10591904632282,18.7473425505161,30
49,5,1,1,0.37612766112566,17.4924718669824,28
50,1,0,0,0.00197365168314353,21.4093248374142,28
50,1,0,1,0.806501309271718,2.69638029662709,26
50,1,1,0,0.00249643435355444,31.0644198222827,30
