subject,repetition,g,SD,nTrials
38,3,0.0212074529940671,16.5396429055638,120
38,4,0.000394542529962411,16.3728224743628,116
38,5,3.28897491931428e-06,17.3674123693737,109
38,6,4.84359694379267e-05,17.3548776909627,115
39,1,0.421947891262422,24.1993998670195,116
39,2,0.0669617909736097,21.4170424922116,120
39,3,0.0141660749239418,18.0882528023746,106
39,4,0.0531517451793738,21.3712571824433,113
39,5,0.165869771008089,21.1858249965456,114
39,6,0.0408147252103401,19.2116871842558,114
40,1,0.128185831496137,21.0868613775047,116
40,2,0.000211542851473664,17.5708051453101,113
40,3,6.21245719429286e-05,18.5522987574043,110
40,4,0.0140830551965092,15.0739103582711,112
40,5,0.00129729533665192,16.8167489631421,116
40,6,4.06451102842945e-06,14.2563502042548,117
41,1,0.180098190055708,30.748872546642,115
41,2,0.0262738290281051,20.2831233959864,112
41,3,0.0344419357623579,18.9795274044797,117
41,4,0.0291430087483055,21.3549472083318,111
41,5,0.0191604532977093,26.0056532459131,117
41,6,0.0122533714392087,23.9573575141782,111
42,1,0.107993410280738,23.4619949141908,118
42,2,0.0262935155980538,18.3264281021368,118
42,3,0.016056555391638,15.9093557822162,115
42,4,0.0132487464361416,17.3740933555205,112
42,5,0.0261231313185351,18.7609330068122,109
42,6,0.0132283474538137,18.6111316517198,112
43,1,0.0572616482588587,19.923377407334,115
43,2,0.0123541699600602,15.6912136812108,114
43,3,0.000429691619171909,18.5847944179611,114
43,4,0.0116818421994266,14.0447788810254,111
43,5,0.0260282237298237,15.8902805968466,114
43,6,0.000217952324472371,15.130785050539,116
44,1,0.068723337373463,13.6527127751011,118
44,2,0.00865329441779485,11.4475115611831,119
44,3,0.0112169708145855,10.7603727546866,117
44,4,0.000116694393402396,12.1404364964836,110
44,5,0.000223104293242298,11.7474216113111,113
44,6,0.000116734958531155,12.8536468372253,107
45,1,0.0342825094187201,18.7276392044251,116
45,2,0.0124357742480308,13.0927774933227,114
45,3,0.0270249008269491,12.2186092557264,117
45,4,0.0186472947227146,10.7755901742283,112
45,5,9.26368732191633e-05,14.0225290350164,111
45,6,0.000256504437269762,12.7380269631389,114
46,1,0.124955500899886,20.5450266015994,115
46,2,0.0297903209003678,18.5459148624986,115
46,3,7.22500253384443e-05,16.8380579258865,116
46,4,5.84375977528764e-05,17.692671484901,112
46,5,0.0570840884563196,18.9876057709829,115
46,6,0.000181525213243692,20.0595330840408,110
47,1,0.356679401666959,25.5704570190055,115
47,2,0.0594882846209169,20.1964927211618,114
47,3,0.0323407901452228,21.3345349836484,116
47,4,0.0138352185626436,19.0215328889759,114
47,5,0.0223676218354099,16.8916162799191,113
47,6,1.80312275438639e-05,17.8247925166084,112
48,1,0.100800079981206,15.2763453395205,114
48,2,0.0173459489745536,11.3795250448224,117
48,3,0.000169966948863311,11.5624399994443,117
48,4,0.00956256009312894,10.0484314319988,116
48,5,0.000279444294637433,10.363656039338,111
48,6,0.000187036808503049,10.3337459489914,109
49,1,0.29063889792691,19.9444444042881,116
49,2,0.0955312732799794,13.1071805625213,116
49,3,0.011781792535874,17.7291933737091,113
49,4,0.000371487857930826,16.4639379928243,110
49,5,0.000194037993946105,16.8121549529587,114
49,6,0.019659392329375,13.7862903001711,115
50,1,0.109960758630235,31.1878947126638,116
50,2,0.0818927492160478,21.8256660332342,115
50,3,0.0212499829014136,23.398644000781,116
50,4,0.000103294088011539,22.7385450455941,116
50,5,0.000339873047634507,24.790903359655,109
50,6,0.031215473109876,25.9313324625492,112
51,1,0.0457784487014601,17.8742814795656,116
51,2,0.000171711101694355,13.3761411240177,113
51,3,0.000202709362542814,13.676278327982,116
51,4,0.0114246350230196,11.4509296328577,114
51,5,1.26761717267852e-07,14.1839703202847,113
51,6,0.0279564070775385,13.1824456693098,112
52,1,0.0861655649189468,22.8948688861127,116
52,2,0.0226564964806009,14.9006802339638,117
52,3,0.0008697800306017,15.9116730422122,114
52,4,0.0241336388599891,17.0060908005921,112
52,5,0.0133356669796064,16.5150614807961,110
52,6,0.000819637160718109,14.4034383658117,115
53,1,0.0963916897513137,22.0923464729133,115
53,2,0.0222027603485528,18.5584859840414,116
53,3,5.96225159751363e-05,17.2411770521016,113
53,4,0.016213358304453,18.6828344869248,113
53,5,0.0128227803435768,19.5999444287243,116
53,6,0.000803983628640139,20.0633451822506,111
54,1,0.0389730936901363,20.6732134939155,116
54,2,8.91064872042997e-05,14.8726004686549,117
54,3,0.000134708092912659,16.7038300357492,112
54,4,4.84407466532048e-05,18.0356348279438,114
54,5,0.038672951624881,17.2955465666412,116
54,6,0.0324076122881764,13.1176892970075,109
