subject,test,repetition,g,SD,nTrials
28,2,4,2.15181000767211e-05,16.754391828939,79
28,2,5,0.015621513375479,16.7051597223455,80
28,2,6,0.00124711175187665,17.2360250639764,78
29,1,1,0.079593608574678,23.5092126913177,79
29,1,2,0.0108752579181709,26.4907638426752,79
29,1,3,0.014399817738263,21.2587564800331,79
29,1,4,0.0424060392339881,18.9304372752855,79
29,1,5,0.107138812154089,20.7552334187918,80
29,1,6,0.0470997055530041,21.9792359469096,79
29,2,1,0.455753005563973,31.8333174487936,80
29,2,2,0.150410678611567,22.9012832518906,80
29,2,3,0.110217451493212,23.402824383614,79
29,2,4,0.0589180017830656,23.8102448099787,79
29,2,5,0.0715656195513573,24.1665276699522,78
29,2,6,0.102293947090908,27.4895634561745,78
30,1,1,0.1655498462028,30.7511630031888,79
30,1,2,0.149066210053436,20.909541348397,80
30,1,3,0.0667540504736228,19.8897025421317,80
30,1,4,0.236051660385833,21.5111718477296,80
30,1,5,0.0953151307009944,23.2722228225457,80
30,1,6,0.0856904907093607,22.2141164209167,80
30,2,1,0.255150673075793,28.2348092137602,80
30,2,2,0.0382699697983895,27.1217880651211,79
30,2,3,6.99319125685724e-05,23.6992429992729,80
30,2,4,0.0801606843576153,27.468596137448,80
30,2,5,0.041898199836313,21.9209421705151,77
30,2,6,0.000358675013058802,25.732301984179,77
31,1,1,0.000104321083828691,14.4962829074192,79
31,1,2,0.000473370963610681,14.4788414892971,80
31,1,3,0.0341602828936795,12.8139285290541,77
31,1,4,0.0134716468799763,15.6397257062671,80
31,1,5,0.000331475639393703,17.5661742130452,79
31,1,6,0.0004615428853044,14.4071568396451,80
31,2,1,0.0281915583936834,17.5831951281257,78
31,2,2,0.000428721974183177,17.6425201292799,79
31,2,3,0.0153123751372911,13.7575101913207,79
31,2,4,0.000589779965830643,13.8680249873094,80
31,2,5,0.000113094449396643,16.3829611011006,80
31,2,6,5.76630297825509e-05,14.1768029480943,80
32,1,1,0.028283714492665,17.9672721788523,80
32,1,2,0.00039809981968898,19.334498357087,80
32,1,3,0.000774081404647055,18.1239573409455,80
32,1,4,0.0441039568206589,13.8168291128449,80
32,1,5,0.0228667099384994,19.7291593787521,80
32,1,6,0.000113422520389603,16.5982741311728,80
32,2,1,0.0568655412800435,23.6615433997394,80
32,2,2,0.00046975601836602,20.3209073874291,80
32,2,3,0.000153221117544546,20.7651606449588,79
32,2,4,0.000102876847285097,17.3850287796682,80
32,2,5,3.94355830353483e-05,18.3012790715134,80
32,2,6,0.000339023967146438,18.2526252970752,80
33,1,1,0.12207216919504,21.4084834416028,80
33,1,2,0.114306366537817,16.9821938345543,79
33,1,3,0.000237045334396969,18.1443622960112,79
33,1,4,0.0181850105892607,20.3223606863063,80
33,1,5,0.0853037870782546,19.1579721047892,76
33,1,6,0.0572986955119456,18.1686863710091,78
33,2,1,0.184883191755764,28.4539820600497,80
33,2,2,0.121877142669454,25.6717938433442,80
33,2,3,0.138020953992592,22.6901518615805,79
33,2,4,0.0763757667916776,23.5573089353662,77
33,2,5,0.0606478352542457,25.1317745888019,80
33,2,6,0.0408280357211221,26.4652066080192,80
34,1,1,0.146879482051626,21.4441455268651,80
34,1,2,0.0652251910792321,18.5787055880947,80
34,1,3,0.0889073625256246,24.456241329101,80
34,1,4,0.0985305403272017,17.1775812537176,80
34,1,5,0.0327183818522538,18.7770053625901,80
34,1,6,0.0314790516597752,25.5767173414363,80
34,2,1,0.457929980380896,23.9217986329126,79
34,2,2,0.0775994013792417,23.9512566991526,78
34,2,3,0.064832272540786,22.0327034260509,77
34,2,4,0.106499981759927,18.7072755631676,76
34,2,5,0.0864549239342154,16.6310922444498,78
34,2,6,0.10269407579615,19.662073996311,78
35,1,1,0.032494431882354,24.0187518952585,80
35,1,2,0.000636578556374846,18.1736106449532,80
35,1,3,0.0610979556011886,17.2110065713007,79
35,1,4,0.000695966306099923,21.4998252777901,80
35,1,5,0.062623608307753,20.1539151800494,80
35,1,6,0.00010375435973841,18.5084803448343,78
35,2,1,0.0787303309862417,26.8101750084176,78
35,2,2,0.000131042967618703,26.6101004943114,79
35,2,3,0.00102615546201843,21.5112353080351,78
35,2,4,0.000122566053783448,19.4163147934527,76
35,2,5,0.000227454826024476,21.598879443592,78
35,2,6,0.000210637363232128,18.9370281275168,80
36,1,1,0.0639976298400405,19.6869908625707,80
36,1,2,0.0446351947058967,15.0703781198387,78
36,1,3,0.000361215909145266,15.8973888691967,80
36,1,4,0.000458796904804892,20.8487052880088,80
36,1,5,0.0620911328606561,14.00494887287,80
36,1,6,0.052113568147539,16.4427669913726,79
36,2,1,0.262599261163053,24.3973382662806,79
36,2,2,0.0432119021349099,16.6155461884062,80
36,2,3,0.0416851816652361,15.7020266876644,79
36,2,4,0.0451021051764052,15.1650223907503,77
36,2,5,0.00010975161570972,17.0971224489914,79
36,2,6,0.00050319059775808,18.9289933251247,80
37,1,1,0.122117056232784,18.8686658482842,71
37,1,2,6.61541869180055e-05,21.4508135363978,78
37,1,3,0.0242195924969957,25.1533333786082,67
37,1,4,0.050537364334024,23.2342356064783,76
37,1,5,0.0525406947961008,20.6131818034929,69
37,1,6,0.149264135197907,18.0581510139128,72
37,2,1,0.388032006729167,24.4909435698955,74
37,2,2,0.0506949109674317,21.915844400121,75
37,2,3,0.100971995587338,16.5679745393646,74
37,2,4,0.10614737258442,20.9720242669121,74
37,2,5,0.000409956852885152,24.5721558808934,75
37,2,6,0.000368674129184388,20.4949313394085,74
38,1,1,0.0373370452970712,25.3518561124528,79
38,1,2,0.0256877421682071,22.5400937888827,80
38,1,3,0.00149269393217267,25.0244657961832,80
38,1,4,0.0403332538590495,21.7101391138412,80
38,1,5,0.000119372511154936,24.5097993645879,80
38,1,6,0.000138970968182757,22.3073095570031,80
38,2,1,0.307306102008033,21.5363422332151,80
38,2,2,0.0657853217589893,21.1006876256164,80
38,2,3,0.0703253712163927,24.4026487468906,80
38,2,4,0.0833446264996551,22.6567132045349,80
38,2,5,0.000361554097901135,27.4026978026872,80
38,2,6,0.0211238219802264,26.276035452711,80
39,1,1,0.103085600425018,18.4328804091215,77
39,1,2,0.000746961431590196,16.7525408148343,77
39,1,3,0.000618512287026541,18.9287017493202,76
39,1,4,0.0227333378364463,18.6214466482428,78
39,1,5,0.000276816932206944,20.1897140979999,79
39,1,6,0.000172404147589211,17.6897353361693,76
39,2,1,0.118781723334957,22.2827225201885,80
39,2,2,0.139654384626552,19.0370424355589,78
39,2,3,0.0817050353545814,22.7415528905322,77
39,2,4,0.000150788463516898,21.2138371167847,74
39,2,5,0.00143165306272893,20.6260405620915,76
39,2,6,0.0562781274478781,19.3291497165054,78
40,1,1,0.0586113995008169,17.6518802487522,79
40,1,2,0.000165162897808412,14.6131401188466,78
40,1,3,6.64494476770041e-05,17.2482659283172,80
40,1,4,8.69880869731232e-05,12.683816079273,79
40,1,5,0.000452632353405948,15.6606880466912,80
40,1,6,0.000581541074298275,13.4491498429145,78
40,2,1,0.0945562273376617,17.1828748153469,77
40,2,2,0.000470527970120727,14.6916997385358,80
40,2,3,0.0130607788249632,14.3564459670466,80
40,2,4,0.000144282447898654,12.6233386474148,76
40,2,5,0.0191451082858664,13.4466564279551,79
40,2,6,4.04369643511836e-06,10.9861526230746,78
41,1,1,0.0602892701003453,16.9927414015326,79
41,1,2,0.023104434392647,18.7931253091529,79
41,1,3,0.000523660559711482,17.6049324557481,77
41,1,4,0.000420623825258388,16.8734640233853,80
41,1,5,0.000567658200713785,19.3371612122165,80
41,1,6,0.000448863745672348,15.6902573432008,79
41,2,1,0.123129543446567,29.5461471562233,77
41,2,2,0.000112392545333851,20.5323329252096,79
41,2,3,0.00108832742479506,18.8158599665008,80
41,2,4,0.000299805703406253,20.2784563862493,77
41,2,5,0.00053762234854712,20.2535880909122,80
41,2,6,3.21020454117221e-06,19.0998262207721,76
42,1,1,0.0572613014418816,23.0493663388711,78
42,1,2,4.27241702905803e-05,22.9421993672064,79
42,1,3,0.0356325808063894,19.7515597979387,80
42,1,4,0.0379162677432495,17.763143749466,80
42,1,5,0.0454982731168733,22.3122947183294,79
42,1,6,0.000360934718567688,19.1388255675042,79
42,2,1,0.130263059902332,38.4341847908009,79
42,2,2,0.0526543328159096,25.7571998233943,79
42,2,3,0.136966976845535,25.3920264216054,79
42,2,4,0.0397775199783998,21.6446741628598,77
42,2,5,0.0335604397747769,22.3483716177897,79
42,2,6,0.000166493737135159,22.2723068410421,78
43,1,1,0.0592598626562253,20.2020529345968,80
43,1,2,0.022064356595981,20.9690873476517,80
43,1,3,0.000176855329846275,22.7838000687477,80
43,1,4,0.0803044088623359,17.5920694183717,79
43,1,5,0.00049875926317893,22.5386495983299,79
43,1,6,0.000527038104013682,21.2030074233668,80
43,2,1,0.0644269675887717,31.7434041340089,80
43,2,2,0.0432735199748792,27.2756384771149,80
43,2,3,0.000322568758412058,23.9306050074759,80
43,2,4,0.0292633189879222,25.9044884686878,78
43,2,5,0.000516510623686289,25.8804417314276,80
43,2,6,0.000300584865407238,24.604061908689,80
44,1,1,0.0766359610465144,14.0529047484839,80
44,1,2,0.0493611219270706,13.460191631573,80
44,1,3,0.0170546381924079,13.7562030924126,76
44,1,4,0.000732160399519557,13.8736256650568,76
