subject,test,repetition,context,g,SD,nTrials
17,2,5,1,8.83096201942588e-05,18.1815868492944,39
18,1,1,0,1.38785906196003e-05,24.2645396336939,38
18,1,1,1,0.000321201165310939,19.2473083080491,42
18,1,5,0,0.0017704366330884,23.8140284499763,40
18,1,5,1,0.00189865967705749,16.8457629615656,39
18,2,1,0,0.178640599917176,24.1852633641037,38
18,2,1,1,0.182192456433454,24.9376913259456,42
18,2,5,0,0.000224662264926507,14.5172742852812,41
18,2,5,1,0.00251768701826637,19.0845111031669,39
19,1,1,0,0.0455568500153145,22.5324246381374,39
19,1,1,1,0.070611051107689,21.3001466595618,41
19,1,5,0,0.044443745333345,19.2531406820364,40
19,1,5,1,0.00145117060726349,14.8097668682728,40
19,2,1,0,0.00163892832965057,28.2831087987808,38
19,2,1,1,0.240641426798083,14.4587198017281,40
19,2,5,0,2.09260008189206e-05,16.8008469480061,38
19,2,5,1,0.000500474835181109,19.3525400879584,38
20,1,1,0,0.00208326049031904,19.8747738706834,35
20,1,1,1,0.00141177847705693,17.218203826939,39
20,1,5,0,0.00179345754982358,18.6390101342107,37
20,1,5,1,0.065351612789472,13.8760541562875,37
20,2,1,0,0.135799664076172,24.8197571163617,36
20,2,1,1,0.279136944186895,15.6797187822782,39
20,2,5,0,0.0012203526163067,17.1777417291087,37
20,2,5,1,0.00131155583629081,14.9925452256199,37
21,1,1,0,0.000537967823154607,18.8864313207602,40
21,1,1,1,0.167262435232731,19.858165795315,40
21,1,5,0,9.63333173320102e-05,18.311015631933,41
21,1,5,1,0.000523265383325355,24.6085789119494,39
21,2,1,0,3.18263164849168e-05,32.9655297636281,40
21,2,1,1,0.0783263621264015,25.2176509338249,39
21,2,5,0,0.00067847479642939,12.9843645225326,41
21,2,5,1,0.000313682643565958,13.6794333818027,37
22,1,1,0,0.000910014996203037,19.5993895033377,38
22,1,1,1,0.0732814360737647,20.7389930118332,41
22,1,5,0,0.0316840210113193,12.5589874861457,39
22,1,5,1,0.000252366619406467,17.9602727092575,40
22,2,1,0,0.00169359646423785,25.2176280613232,39
22,2,1,1,0.24130650048858,23.7244741327758,40
22,2,5,0,0.000106739591579218,14.6363846111411,39
22,2,5,1,0.000162654393197247,14.5238409346292,39
23,1,1,0,0.0721696968121059,20.9681292023609,38
23,1,1,1,0.0685956317170064,23.5581547500475,40
23,1,5,0,0.000340689080844027,27.1993630103861,44
23,1,5,1,0.039898716860852,21.9820973512113,35
23,2,1,0,0.25920664583068,24.5808547661095,40
23,2,1,1,0.05982072924695,32.8457389943876,39
23,2,5,0,8.42863988135475e-05,16.3529437067365,41
23,2,5,1,0.0873902723686006,23.0960694966544,34
24,1,1,0,0.214198778404058,18.8537787901889,38
24,1,1,1,0.183710081471333,18.4435453788312,39
24,1,5,0,0.00136509241278105,21.236188847753,36
24,1,5,1,0.00118512198365214,28.3486581539919,42
24,2,1,0,0.138209675086137,23.2663007641063,38
24,2,1,1,0.121230181174525,24.1979031573654,41
24,2,5,0,0.00162341271123109,17.6690531701393,38
24,2,5,1,0.000211228991784985,16.7039669678149,41
25,1,1,0,0.169874229149518,29.2771612083335,39
25,1,1,1,0.0981629784254134,39.0266563702098,40
25,1,5,0,0.170942579964645,16.1046039581358,38
25,1,5,1,0.000295483986141293,39.697560972908,41
25,2,1,0,0.0860179952839307,33.9762615915813,37
25,2,1,1,0.191260549735765,36.6641579180339,41
25,2,5,0,0.0001464680199455,27.8196566467428,37
25,2,5,1,0.000923493643259349,27.509759262387,42
26,1,1,0,0.000947460188738685,21.7130281887871,41
26,1,1,1,0.000106105732432341,18.4570741975321,38
26,1,5,0,0.00114693675983155,22.7197971399837,38
26,1,5,1,0.000544347611233856,21.5626609673935,41
26,2,1,0,0.262519271964203,30.3666475533225,42
26,2,1,1,0.0402989870823214,26.0202591291188,38
26,2,5,0,0.000359418814748847,24.8940845630661,36
26,2,5,1,0.00149403828218819,31.2356720049881,42
